city,lat,lng,country,iso2,admin,capital,population,population_proper
PENONG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BUNDALEER GARDENS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BUNDALEER NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HORNSDALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
JAMESTOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WEST BUNDALEER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YONGALA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GRACE PLAINS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KORUNYE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MALLALA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
REDBANKS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
REEVES PLAINS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LOCHIEL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BARUNGA GAP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WILKATANA STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WINTABATINYANA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YADLAMALKA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CARRIEWERLOO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ILLEROO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LINCOLN GAP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PANDURRA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARTAKA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ROCHESTER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YACKA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GULNARE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GEORGETOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KADINA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MATTA FLAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ARDROSSAN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BLACK POINT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CUNNINGHAM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DOWLINGVILLE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
JAMES WELL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PETERSVILLE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PINE POINT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ROGUES POINT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOOKPURNONG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LOXTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LOXTON NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NEW RESIDENCE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PATA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
RENMARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
RENMARK NORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
RENMARK SOUTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
RENMARK WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SUTHERLANDS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CURNAMONA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DEVONBOROUGH DOWNS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ERUDINA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FLORINA STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FROME DOWNS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GRAMPUS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KALABITY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KALKAROO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KOONAMORE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LAKE FROME,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MANNA HILL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MANUNDA STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MARTINS WELL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ALAWOONA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PINE VALLEY STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
QUONDONG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STURT VALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EMU FLAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GILLENTOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HILL RIVER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HOYLETON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KYBUNGA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PENWORTHAM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
POLISH HILL RIVER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SEVENHILL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SPRING FARM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BETHEL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FORDS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BRADY CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BRIGHT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EMU DOWNS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GERANIUM PLAINS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HALLELUJAH HILLS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ROBERTSTOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ROCKY PLAIN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BILLIATT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BUGLE HUT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MAGGEA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MALPAS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MERIBAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PARUNA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SCHELL WELL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TALDRA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TAPLAN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
VEITCH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SPRING GULLY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOOLGUN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DEVLINS POUND,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GOOD HOPE LANDING,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HAWKS NEST STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HOLDER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HOLDER SIDING,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KANNI,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LOWBANK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MARKARANKA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MARKS LANDING,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NAIDIA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YATINA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
AMYTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BLACK ROCK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COOMOOROO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EURELIA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HAMMOND,-37.813938,144.963425,Australia,AU,Victoria,admin,,
JOHNBURGH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MINBURRA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MINBURRA PLAIN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
QUORN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SALTIA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STEPHENSTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WILLOCHRA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YARRAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BAROSSA GOLDFIELDS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COCKATOO VALLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LYNDOCH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUNT CRAWFORD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PEWSEY VALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WILLIAMSTOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SWAN REACH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DAVEYSTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EBENEZER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LIGHT PASS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MARANANGA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOPPA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NURIOOTPA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SEPPELTSFIELD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STOCKWELL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ANNADALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARNES,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EIGHT MILE CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GERMAN CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLENBURNIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLENCOE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KONGORONG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MIL-LEL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MINGBOOL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOORAK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUNT SCHANK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BARNDIOOTA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WALLAROO PLAIN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WARBURTO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
AGERY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CROSS ROADS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
APOINGA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BLACK SPRINGS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MARRABEL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SADDLEWORTH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STEELTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TARNMA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COLLINSVILLE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUNT BRYAN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CANOWIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HALLETT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PYAP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PYAP WEST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MUNDIC CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MURTHO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PARINGA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PIKE RIVER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EAST MOONTA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HAMLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUNT DUTTON BAY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MURDINGA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NORTH SHIELDS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PEARLAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YUNTA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
AUBURN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
UNDALYA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LEASINGHAM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WATERVALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ARMAGH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BARINIA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BENBOURNIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOCONNOC PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CLARE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BARABBA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
OWEN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PINERY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STOCKYARD CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BALAKLAVA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOWILLIA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DALKEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HAMILTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KAPUNDA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KOONUNGA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ST JOHNS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
AUSTRALIA PLAINS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOWER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WESTALL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YANERBIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOODLEIGH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WUNKAR,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BEATTY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BEAUMONTS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BRENDA PARK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BUNDEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EBA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LINDLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MAUDE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MORGAN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
OVERLAND CORNER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
POOGINOOK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STOCKYARD PLAIN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DUTTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DUTTON EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SANDLETON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MINBURRA STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MORCHARD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NORTH HILLS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ORROROO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PEKINA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TARCOWIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WALLOWAY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WILLOWIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GERARD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GURRA GURRA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KATARAPKO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LYRUP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WORLDS END,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MAGDALA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BETHANY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GOMERSAL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KRONDORF,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ROWLAND FLAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STONE WELL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TANUNDA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
VINE VALE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ST KITTS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STEINFELD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TRURO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUNT BRYAN EAST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PINE CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NENE VALLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
OB FLAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PELICAN POINT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PORT MACDONNELL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
RACECOURSE BAY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SQUARE MILE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SUTTONTOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WANDILO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PINKERTON PLAINS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WASLEYS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOOLSHEDS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ALMA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BLACK HILL STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FLINDERS RANGES,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TOTHILL BELT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TOTHILL CREEK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WATERLOO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MANOORA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MINTARO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STANLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ULOOLOO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WILLALO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WONNA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
OUTALPA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PINE CREEK STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PLUMBAGO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PUALCO RANGE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
QUINYAMBIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TEPCO STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TIKALINA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WONUARRA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YAMBA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CALPERUM STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CHAFFEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BROWNLOW,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HAWKER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KANYAKA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUNT HAVELOCK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PRELINNA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SHAGGY RIDGE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KARTE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FARRELL FLAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SPALDING,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WASHPOOL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HILLTOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MORPHETTS FLAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WADNAMINGA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WAUKARINGA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WEEKEROO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WIAWERA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WINNININNIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOMPINIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YARRAMBA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TAYLORVILLE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TAYLORVILLE STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BUCHANAN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EUDUNDA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FRANKTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HAMPDEN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YALPARA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KRINGIN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PEEBINGA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PINNAROO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WYNARKA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KAROONDA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MARAMA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MURBKO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NORTH WEST BEND,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STUART,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WESTONS FLAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOMBATS REST,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ANGASTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WAIKERIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WIGLEY FLAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WOOLPUNDA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BLANCHETOWN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MCBEAN POUND,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NEW WELL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NOTTS WELL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BARATTA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BELTON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BIBLIANDO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CARRIETON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CRADOCK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HOLOWILIENA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WORROLONG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WINKIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GLOSSOP,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BARMERA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LOVEDAY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BLACK HILL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CAMBRAI,-37.813938,144.963425,Australia,AU,Victoria,admin,,
KEYNETON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LANGS LANDING,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOCULTA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PORTER LAGOON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BALAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BALDINA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
PAISLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GREENOCK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CANOWIE BELT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WHYTE YARCOWIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
FRANKLYN,-37.813938,144.963425,Australia,AU,Victoria,admin,,
TEROWIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CAVENAGH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WYE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
YAHL,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CARCUMA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
GERANIUM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
JABUK,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOORLANDS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HAMLEY BRIDGE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
SALTER SPRINGS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
LINWOOD,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOOBOROWIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BUNYUNG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BURRA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BURRA EASTERN DISTRICTS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CANEGRASS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DANGGALI,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MELTON STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MINGARY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOOLEULOOLOO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
DAWSON,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ERSKINE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HARDY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
STANLEY FLAT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ANDREWS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BROUGHTON RIVER VALLEY,-37.813938,144.963425,Australia,AU,Victoria,admin,,
EUROMINA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
HACKLINS CORNER,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CHOWILLA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
COOLTONG,-37.813938,144.963425,Australia,AU,Victoria,admin,,
CRESCENT,-37.813938,144.963425,Australia,AU,Victoria,admin,,
OLD CALPERUM,-37.813938,144.963425,Australia,AU,Victoria,admin,,
UPALINNA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WILLOW SPRINGS,-37.813938,144.963425,Australia,AU,Victoria,admin,,
WORUMBA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
ABMINGA STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BENDA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BIMBOWRIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BINDARRAH,-37.813938,144.963425,Australia,AU,Victoria,admin,,
BOOLCOOMATTA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MOUNT VICTOR STATION,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MULYUNGARIE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MUNDI MUNDI,-37.813938,144.963425,Australia,AU,Victoria,admin,,
MUTOOROO,-37.813938,144.963425,Australia,AU,Victoria,admin,,
NACKARA,-37.813938,144.963425,Australia,AU,Victoria,admin,,
